molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,inactive,612.6320000000002,3.6271200000000023,5.0,11.0,4.070070439915412
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,active,646.7440000000001,6.374600000000006,2.0,8.0,6.167491087293763
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,active,563.6540000000001,5.5602000000000045,2.0,6.0,6.3979400086720375
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,intermediate,446.9100000000004,4.275600000000003,1.0,7.0,5.958607314841775
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,5.39040559077478
CHEMBL475554,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1[N+](=O)[O-],intermediate,416.48100000000005,4.839600000000004,2.0,4.0,5.059981844992337
CHEMBL475362,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2,intermediate,476.5330000000002,4.856800000000004,2.0,6.0,5.041914151478915
CHEMBL474972,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,intermediate,476.5330000000002,4.856800000000003,2.0,6.0,5.583359492661719
CHEMBL472819,Nc1ccccc1NC(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,inactive,386.49900000000014,4.513600000000004,3.0,3.0,4.130181792020672
CHEMBL472818,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3N)cc1)CC2,inactive,446.55100000000016,4.530800000000003,3.0,5.0,4.2335871528876
CHEMBL474757,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc(N)cc3)cc1)CC2,inactive,446.55100000000016,4.530800000000002,3.0,5.0,4.333482019445119
CHEMBL258456,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-],inactive,401.46600000000007,4.447900000000004,1.0,4.0,4.34008379993015
CHEMBL442464,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc1)CC2,inactive,461.5180000000002,4.465100000000003,1.0,6.0,4.3979400086720375
CHEMBL555611,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,intermediate,461.5180000000002,4.465100000000003,1.0,6.0,5.3585258894959
CHEMBL259077,Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,inactive,371.48400000000004,4.121900000000004,2.0,3.0,4.679853713888946
CHEMBL429515,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3N)cc1)CC2,inactive,431.5360000000002,4.139100000000003,2.0,5.0,4.684029654543083
CHEMBL261632,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(N)cc3)cc1)CC2,inactive,431.5360000000002,4.139100000000003,2.0,5.0,4.00788851221305
CHEMBL595550,COc1ccc(C(=O)Nc2ccccc2NC(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,intermediate,610.7110000000004,6.218100000000005,3.0,7.0,5.156144577376839
CHEMBL247473,COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,active,595.6960000000004,5.826400000000006,2.0,7.0,6.0655015487564325
CHEMBL595493,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,active,580.6410000000001,5.717400000000005,2.0,7.0,6.200659450546418
CHEMBL594336,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,active,595.6560000000001,6.109100000000005,3.0,7.0,6.301029995663981
